"station","DJF","JJA","MAM","SON"
"San Martin",-1.93,-3.38,-1.73,-1.67
"Carlini",-0.77,-2.2,-1.93,-1.35
"Esperanza",-0.83,-1.85,-1.32,-1.49
"Juan Carlos I",3.95,4.28,4.62,4.64
"O'Higgins",-3.09,-3.91,-2.69,-2.96
"Prat",1.44,0.17,1.57,1.75
"Rothera",-2.47,-3.83,-3.15,-3.81
"Vernadsky",0.22,-0.03,0.51,-0.61
