"TagID","Date","Time","X","Y","Z","Activity","Depth","Temp....C.","height.msl","ground.speed","satellites","hdop","signal.strength","Battery..V.","Metadata","date","location.lon","location.lat","geometry"
"CP-01_S1","16/12/2022","04:15:19.000",0.203,-0.031,0.766,"Active/Dry",0.12,0.1,0,0,4,2.1,344,NA,"",2022-12-16 04:15:19,-58.7042,-62.4289,c(-58.7042, -62.4289)
"CP-01_S1","16/12/2022","04:21:45.000",0,-0.031,1.282,"Active/Dry",0.12,0.1,0,0,4,2.2,344,NA,"",2022-12-16 04:21:45,-58.71021,-62.42855,c(-58.71021, -62.42855)
"CP-01_S1","16/12/2022","04:27:50.000",-0.281,0.031,0.985,"Active/Dry",0.11,0.1,-4,0,4,2.3,321,NA,"",2022-12-16 04:27:50,-58.71616,-62.42811,c(-58.71616, -62.42811)
"CP-01_S1","16/12/2022","04:30:04.000",-0.094,-0.094,0.953,"Active/Dry",0.12,-0.1,0,0,4,2.3,356,NA,"",2022-12-16 04:30:04,-58.71845,-62.42796,c(-58.71845, -62.42796)
"CP-01_S1","16/12/2022","04:38:33.000",-0.422,-0.031,1.032,"Active/Dry",2.24,0.1,0,7.4,4,2.4,138,NA,"",2022-12-16 04:38:33,-58.72556,-62.42763,c(-58.72556, -62.42763)
"CP-01_S1","16/12/2022","04:40:52.000",-0.219,-0.172,1.235,"Active/Dry",0.11,0.1,-2,0,4,2.4,338,NA,"",2022-12-16 04:40:52,-58.7279,-62.42763,c(-58.7279, -62.42763)
"CP-01_S1","16/12/2022","04:46:23.000",-0.031,-0.094,0.953,"Active/Dry",0.1,0.4,0,0,4,3,335,NA,"",2022-12-16 04:46:23,-58.7327,-62.42764,c(-58.7327, -62.42764)
"CP-01_S1","16/12/2022","04:56:04.000",-0.078,0,0.907,"Active/Dry",0.1,0.4,0,0,3,3.2,321,NA,"",2022-12-16 04:56:04,-58.74313,-62.42739,c(-58.74313, -62.42739)
"CP-01_S1","16/12/2022","05:00:06.000",-0.25,-0.047,1.25,"Active/Dry",0.11,0.1,4,0,3,3.3,295,NA,"",2022-12-16 05:00:06,-58.74673,-62.42713,c(-58.74673, -62.42713)
"CP-01_S1","16/12/2022","05:06:10.000",-0.578,0.047,0.828,"Active/Dry",2.09,0.4,0,0,3,3.4,142,NA,"",2022-12-16 05:06:10,-58.75199,-62.42663,c(-58.75199, -62.42663)
"CP-01_S1","16/12/2022","05:10:08.000",-0.234,-0.172,1,"Active/Dry",0.11,0.1,4,0,3,3.4,302,NA,"",2022-12-16 05:10:08,-58.7569,-62.42635,c(-58.7569, -62.42635)
"CP-01_S1","16/12/2022","05:38:47.000",-0.313,-0.156,0.86,"Active/Dry",0.1,0.7,0,3.7,6,1.1,322,NA,"",2022-12-16 05:38:47,-58.76906,-62.41357,c(-58.76906, -62.41357)
"CP-01_S1","16/12/2022","05:40:43.000",-0.078,-0.25,0.75,"Active/Dry",0.1,0.3,-4,0,6,1.1,267,NA,"",2022-12-16 05:40:43,-58.76835,-62.41361,c(-58.76835, -62.41361)
"CP-01_S1","16/12/2022","05:45:04.000",-0.188,-0.031,1.078,"Active/Dry",0.1,0.2,-14,0,6,1.1,296,NA,"",2022-12-16 05:45:04,-58.76677,-62.41359,c(-58.76677, -62.41359)
"CP-01_S1","16/12/2022","05:51:36.000",-0.016,-0.141,0.938,"Active/Dry",0.1,0.4,-4,3.7,6,1.1,327,NA,"",2022-12-16 05:51:36,-58.76309,-62.41226,c(-58.76309, -62.41226)
"CP-01_S1","16/12/2022","05:55:50.000",-0.047,0.188,0.907,"Active/Dry",0.1,0.3,2,0,6,1.1,332,NA,"",2022-12-16 05:55:50,-58.75943,-62.41208,c(-58.75943, -62.41208)
"CP-01_S1","16/12/2022","06:00:44.000",-0.188,-0.156,0.875,"Active/Dry",0.11,0.3,-6,3.7,5,1.4,320,NA,"",2022-12-16 06:00:44,-58.75608,-62.41048,c(-58.75608, -62.41048)
"CP-01_S1","16/12/2022","06:05:12.000",-0.016,-0.047,0.985,"Active/Dry",0.11,0.2,-4,0,5,1.3,335,NA,"",2022-12-16 06:05:12,-58.75541,-62.4096,c(-58.75541, -62.4096)
"CP-01_S1","16/12/2022","06:10:47.000",-0.078,-0.078,1.219,"Active/Dry",0.12,0.3,-6,0,5,1.3,311,NA,"",2022-12-16 06:10:47,-58.75451,-62.4069,c(-58.75451, -62.4069)
"CP-01_S1","16/12/2022","06:17:38.000",-0.125,-0.25,0.672,"Active/Dry",0.11,0.4,-2,0,5,1.3,321,NA,"",2022-12-16 06:17:38,-58.75667,-62.40105,c(-58.75667, -62.40105)
"CP-01_S1","16/12/2022","06:20:59.000",-0.063,-0.109,0.625,"Active/Dry",0.11,0.4,0,0,5,1.3,330,NA,"",2022-12-16 06:20:59,-58.75788,-62.39838,c(-58.75788, -62.39838)
"CP-01_S1","16/12/2022","06:26:13.000",-0.297,-0.063,1.235,"Active/Dry",0.1,0.5,2,3.7,4,2.2,322,NA,"",2022-12-16 06:26:13,-58.75938,-62.39433,c(-58.75938, -62.39433)
"CP-01_S1","16/12/2022","06:31:52.000",-0.516,-0.063,0.907,"Active/Dry",3.84,0.4,18,14.8,3,1.2,105,NA,"",2022-12-16 06:31:52,-58.76074,-62.38982,c(-58.76074, -62.38982)
"CP-01_S1","16/12/2022","06:35:58.000",-0.203,-0.031,1.047,"Active/Dry",0.12,0.4,6,3.7,4,2,314,NA,"",2022-12-16 06:35:58,-58.76276,-62.38622,c(-58.76276, -62.38622)
"CP-01_S1","16/12/2022","06:41:59.000",-0.125,-0.063,1.078,"Active/Dry",0.12,0.4,6,0,4,1.4,289,NA,"",2022-12-16 06:41:59,-58.7666,-62.38209,c(-58.7666, -62.38209)
"CP-01_S1","16/12/2022","06:48:08.000",-0.328,-0.016,0.828,"Active/Dry",0.11,0.2,2,0,4,1.3,306,NA,"",2022-12-16 06:48:08,-58.77447,-62.38096,c(-58.77447, -62.38096)
"CP-01_S1","16/12/2022","06:50:55.000",-0.063,-0.141,0.75,"Active/Dry",0.11,0.2,14,0,4,1.3,310,NA,"",2022-12-16 06:50:55,-58.77813,-62.38083,c(-58.77813, -62.38083)
"CP-01_S1","16/12/2022","06:56:11.000",-0.438,-0.109,0.953,"Active/Dry",3.97,0.3,10,7.4,3,2.4,96,NA,"",2022-12-16 06:56:11,-58.78482,-62.38069,c(-58.78482, -62.38069)
"CP-01_S1","16/12/2022","08:25:27.000",-0.281,-0.141,0.907,"Active/Dry",0.13,0.5,8,0,3,2.3,331,NA,"",2022-12-16 08:25:27,-58.87565,-62.38994,c(-58.87565, -62.38994)
"CP-01_S1","16/12/2022","08:34:19.000",-0.219,-0.031,1.266,"Active/Dry",0.13,0.5,22,0,4,2.4,327,NA,"",2022-12-16 08:34:19,-58.87252,-62.38857,c(-58.87252, -62.38857)
"CP-01_S1","16/12/2022","08:37:14.000",-0.219,0.219,0.891,"Active/Dry",0.14,0.4,22,0,4,3,340,NA,"",2022-12-16 08:37:14,-58.87249,-62.38773,c(-58.87249, -62.38773)
"CP-01_S1","19/12/2022","13:53:43.000",0.125,-0.047,0.86,"Active/Dry",0.74,0.6,8,0,3,2.3,156,NA,"",2022-12-19 13:53:43,-59.20853,-62.31626,c(-59.20853, -62.31626)
"CP-01_S1","19/12/2022","13:55:09.000",0.281,-1.297,-0.531,"Active/Dry",0.1,0.4,-16,0,3,2.3,211,NA,"",2022-12-19 13:55:09,-59.20864,-62.31745,c(-59.20864, -62.31745)
"CP-01_S1","19/12/2022","14:12:12.000",-0.594,-0.031,0.875,"Active/Dry",0.07,1.1,-4,0,4,1.2,275,NA,"",2022-12-19 14:12:12,-59.20454,-62.32783,c(-59.20454, -62.32783)
"CP-01_S1","19/12/2022","14:15:12.000",0.047,0.109,0.797,"Active/Dry",0.07,0.3,-2,0,4,1.2,168,NA,"",2022-12-19 14:15:12,-59.20539,-62.32845,c(-59.20539, -62.32845)
"CP-01_S1","19/12/2022","14:20:05.000",-0.125,-2.001,1.266,"Active/Dry",0.08,0.3,0,0,3,2,229,NA,"",2022-12-19 14:20:05,-59.20558,-62.33123,c(-59.20558, -62.33123)
"CP-01_S1","19/12/2022","14:25:05.000",-0.156,-1.407,0.485,"Active/Dry",0.08,0.4,-16,3.7,4,1.2,219,NA,"",2022-12-19 14:25:05,-59.20371,-62.33325,c(-59.20371, -62.33325)
"CP-01_S1","19/12/2022","14:30:07.000",-0.391,0.203,1.235,"Active/Dry",0.08,0.2,-46,0,3,5.1,227,3.48,"",2022-12-19 14:30:07,-59.20632,-62.33243,c(-59.20632, -62.33243)
"CP-01_S1","19/12/2022","14:49:50.000",-0.531,0.094,0.313,"Active/Dry",1.15,0.4,20,3.7,3,2.4,204,NA,"",2022-12-19 14:49:50,-59.23035,-62.32904,c(-59.23035, -62.32904)
"CP-01_S1","19/12/2022","14:57:11.000",0.047,-0.266,0.875,"Active/Dry",0.07,0.4,4,0,3,2.2,282,NA,"",2022-12-19 14:57:11,-59.23642,-62.32775,c(-59.23642, -62.32775)
"CP-01_S1","19/12/2022","15:01:46.000",0.172,-0.141,0.391,"Active/Dry",0.07,0.3,4,0,3,2.1,244,NA,"",2022-12-19 15:01:46,-59.24197,-62.32502,c(-59.24197, -62.32502)
"CP-01_S1","19/12/2022","15:05:49.000",-0.266,-0.203,0.907,"Active/Dry",2.38,0.1,6,3.7,3,2,85,NA,"",2022-12-19 15:05:49,-59.2457,-62.32159,c(-59.2457, -62.32159)
"CP-01_S1","19/12/2022","15:10:19.000",-0.234,-0.078,0.766,"Active/Dry",3.34,0.2,-12,40.7,3,2,38,NA,"",2022-12-19 15:10:19,-59.24962,-62.31781,c(-59.24962, -62.31781)
"CP-01_S1","19/12/2022","15:17:35.000",-0.188,0.61,1.157,"Active/Dry",0.09,0.1,-6,0,3,1.4,209,NA,"",2022-12-19 15:17:35,-59.25654,-62.31277,c(-59.25654, -62.31277)
"CP-01_S1","19/12/2022","15:25:10.000",0.344,1.985,0.828,"Active/Dry",0.08,0.1,2,0,3,1.4,222,NA,"",2022-12-19 15:25:10,-59.26258,-62.30697,c(-59.26258, -62.30697)
"CP-01_S1","19/12/2022","15:32:29.000",-0.141,-0.234,0.938,"Active/Dry",0.08,0.1,6,0,3,1.4,253,NA,"",2022-12-19 15:32:29,-59.26426,-62.30184,c(-59.26426, -62.30184)
